first,last,birth,N
A,B,1891,951
A,B,1892,1027
A,B,1893,1034
A,B,1894,1111
A,B,1895,1123
A,B,1896,1208
A,B,1897,1224
A,B,1898,1288
A,B,1899,1228
A,B,1900,1386
A,B,1901,1331
A,B,1902,1474
A,B,1903,1531
A,B,1904,1556
A,B,1905,1635
A,B,1906,1561
A,B,1907,1692
A,B,1908,1713
A,B,1909,1787
A,B,1910,1829
A,B,1911,1725
A,B,1912,1827
A,B,1913,1701
A,B,1914,1736
A,B,1915,1738
A,B,1916,1723
A,B,1917,1710
A,B,1918,1744
A,B,1919,1769
A,B,1920,1839
A,B,1921,1889
A,B,1922,1861
A,B,1923,1902
A,B,1924,1890
A,B,1925,1906
A,B,1926,1829
A,B,1927,1907
A,B,1928,1858
A,B,1929,1713
A,B,1930,1619
A,B,1931,1556
A,B,1932,1492
A,B,1933,1390
A,B,1934,1420
A,B,1935,1204
A,B,1936,1110
A,B,1937,938
A,B,1938,1025
A,B,1939,911
A,B,1940,895
A,B,1941,743
A,B,1942,767
A,B,1943,802
A,B,1944,714
A,B,1945,549
A,B,1946,632
A,B,1947,632
A,B,1948,585
A,B,1949,482
A,B,1950,523
A,B,1951,485
A,B,1952,479
A,B,1953,428
A,B,1954,409
A,B,1955,354
A,B,1956,352
A,B,1957,354
A,B,1958,322
A,B,1959,335
A,B,1960,273
A,B,1961,255
A,B,1962,177
A,B,1963,182
A,B,1964,177
A,B,1965,153
A,B,1966,126
A,B,1967,114
A,B,1968,104
A,B,1969,94
A,B,1970,103
A,B,1971,91
A,B,1972,78
A,B,1973,68
A,B,1974,77
A,B,1975,57
A,B,1976,65
A,B,1977,71
A,B,1978,64
A,B,1979,61
A,B,1980,65
A,B,1981,58
A,B,1982,71
A,B,1983,60
A,B,1984,58
A,B,1985,43
A,B,1986,41
A,B,1987,47
A,B,1988,40
A,B,1989,43
A,B,1990,29
A,B,1991,34
A,B,1992,28
A,B,1993,20
A,B,1994,17
A,B,1995,25
A,B,1996,17
A,B,1997,25
A,B,1998,18
A,B,1999,16
A,B,2000,18
A,B,2001,20
A,B,2002,20
A,B,2003,16
A,B,2004,19
A,B,2005,15
A,B,2006,8
A,B,2007,10
A,B,2008,8
A,B,2009,7
A,B,2010,5
A,B,2011,5
A,C,1800,0
A,C,1801,0
A,C,1802,0
A,C,1803,0
A,C,1804,0
A,C,1805,0
A,C,1806,0
A,C,1807,0
A,C,1808,0
A,C,1809,0
A,C,1810,0
A,C,1811,0
A,C,1812,0
A,C,1813,0
A,C,1814,0
A,C,1815,0
A,C,1816,0
A,C,1817,0
A,C,1818,0
A,C,1819,0
A,C,1820,0
A,C,1821,0
A,C,1822,0
A,C,1823,0
A,C,1824,0
A,C,1825,1
A,C,1826,0
A,C,1827,1
A,C,1828,0
A,C,1829,0
A,C,1830,0
A,C,1831,0
A,C,1832,0
A,C,1833,0
A,C,1834,0
A,C,1835,0
A,C,1836,0
A,C,1837,0
A,C,1838,0
A,C,1839,0
A,C,1840,0
A,C,1841,0
A,C,1842,1
A,C,1843,0
A,C,1844,0
A,C,1845,0
A,C,1846,0
A,C,1847,0
A,C,1848,0
A,C,1849,0
A,C,1850,0
A,C,1851,0
A,C,1852,0
A,C,1853,1
A,C,1854,0
A,C,1855,1
A,C,1856,0
A,C,1857,0
A,C,1858,1
A,C,1859,0
A,C,1860,1
A,C,1861,0
A,C,1862,0
A,C,1863,4
A,C,1864,1
A,C,1865,5
A,C,1866,3
A,C,1867,14
A,C,1868,23
A,C,1869,27
A,C,1870,38
A,C,1871,54
A,C,1872,87
A,C,1873,100
A,C,1874,178
A,C,1875,215
A,C,1876,257
A,C,1877,322
A,C,1878,396
A,C,1879,500
A,C,1880,587
A,C,1881,688
A,C,1882,773
A,C,1883,973
A,C,1884,1071
A,C,1885,1155
A,C,1886,1315
A,C,1887,1423
A,C,1888,1602
A,C,1889,1717
A,C,1890,1781
A,C,1891,1864
A,C,1892,2108
A,C,1893,2175
A,C,1894,2381
A,C,1895,2484
A,C,1896,2492
A,C,1897,2465
A,C,1898,2648
A,C,1899,2640
A,C,1900,2948
A,C,1901,2814
A,C,1902,3125
A,C,1903,3252
A,C,1904,3319
A,C,1905,3364
A,C,1906,3455
A,C,1907,3541
A,C,1908,3683
A,C,1909,3529
A,C,1910,3763
A,C,1911,3737
A,C,1912,3797
A,C,1913,3827
A,C,1914,3811
A,C,1915,3618
A,C,1916,3651
A,C,1917,3504
A,C,1918,3646
A,C,1919,3515
A,C,1920,3710
A,C,1921,3517
A,C,1922,3305
A,C,1923,3123
A,C,1924,3187
A,C,1925,3028
A,C,1926,2700
A,C,1927,2588
A,C,1928,2436
A,C,1929,2203
A,C,1930,2113
A,C,1931,1922
A,C,1932,1835
A,C,1933,1605
A,C,1934,1591
A,C,1935,1480
A,C,1936,1349
A,C,1937,1252
A,C,1938,1234
A,C,1939,1160
A,C,1940,1084
A,C,1941,1104
A,C,1942,1045
A,C,1943,1075
A,C,1944,1094
A,C,1945,856
A,C,1946,940
A,C,1947,994
A,C,1948,910
A,C,1949,821
A,C,1950,782
A,C,1951,719
A,C,1952,735
A,C,1953,659
A,C,1954,645
A,C,1955,608
A,C,1956,591
A,C,1957,599
A,C,1958,539
A,C,1959,477
A,C,1960,424
A,C,1961,396
A,C,1962,360
A,C,1963,323
A,C,1964,281
A,C,1965,256
A,C,1966,192
A,C,1967,204
A,C,1968,174
A,C,1969,153
A,C,1970,187
A,C,1971,163
A,C,1972,161
A,C,1973,150
A,C,1974,141
A,C,1975,144
A,C,1976,110
A,C,1977,138
A,C,1978,125
A,C,1979,104
A,C,1980,109
A,C,1981,113
A,C,1982,91
A,C,1983,106
A,C,1984,95
A,C,1985,103
A,C,1986,77
A,C,1987,77
A,C,1988,64
A,C,1989,65
A,C,1990,63
A,C,1991,46
A,C,1992,48
A,C,1993,44
A,C,1994,40
A,C,1995,19
A,C,1996,40
A,C,1997,32
A,C,1998,38
A,C,1999,27
A,C,2000,26
A,C,2001,41
A,C,2002,37
A,C,2003,29
A,C,2004,27
A,C,2005,29
A,C,2006,18
A,C,2007,16
A,C,2008,20
A,C,2009,5
A,C,2010,16
A,C,2011,2
A,D,1800,0
A,D,1801,0
A,D,1802,0
A,D,1803,0
A,D,1804,0
A,D,1805,0
A,D,1806,0
A,D,1807,0
A,D,1808,0
A,D,1809,0
A,D,1810,0
A,D,1811,0
A,D,1812,0
A,D,1813,1
A,D,1814,0
A,D,1815,0
A,D,1816,0
A,D,1817,0
A,D,1818,1
A,D,1819,0
A,D,1820,0
A,D,1821,0
A,D,1822,0
A,D,1823,0
A,D,1824,0
A,D,1825,1
A,D,1826,0
A,D,1827,0
A,D,1828,0
A,D,1829,0
A,D,1830,0
A,D,1831,0
A,D,1832,0
A,D,1833,0
A,D,1834,0
A,D,1835,0
A,D,1836,0
A,D,1837,0
A,D,1838,0
A,D,1839,0
A,D,1840,0
A,D,1841,0
A,D,1842,0
A,D,1843,0
A,D,1844,0
A,D,1845,0
A,D,1846,0
A,D,1847,0
A,D,1848,0
A,D,1849,0
A,D,1850,0
A,D,1851,0
A,D,1852,0
A,D,1853,0
A,D,1854,0
A,D,1855,0
A,D,1856,0
A,D,1857,0
A,D,1858,1
A,D,1859,0
A,D,1860,0
A,D,1861,2
A,D,1862,1
A,D,1863,1
A,D,1864,2
A,D,1865,2
A,D,1866,1
A,D,1867,5
A,D,1868,5
A,D,1869,11
A,D,1870,9
A,D,1871,20
A,D,1872,19
A,D,1873,30
A,D,1874,43
A,D,1875,64
A,D,1876,86
A,D,1877,84
A,D,1878,130
A,D,1879,120
A,D,1880,177
A,D,1881,222
A,D,1882,252
A,D,1883,268
A,D,1884,315
A,D,1885,335
A,D,1886,403
A,D,1887,402
A,D,1888,512
A,D,1889,516
A,D,1890,593
A,D,1891,600
A,D,1892,654
A,D,1893,681
A,D,1894,773
A,D,1895,794
A,D,1896,854
A,D,1897,953
A,D,1898,1128
A,D,1899,1047
A,D,1900,1118
A,D,1901,1089
A,D,1902,1317
A,D,1903,1367
A,D,1904,1493
A,D,1905,1534
A,D,1906,1550
A,D,1907,1716
A,D,1908,1781
A,D,1909,1841
A,D,1910,1951
A,D,1911,2069
A,D,1912,2222
A,D,1913,2193
A,D,1914,2299
